"","url","name","city","checkInDate","checkOutDate","price","totalPrice","numOfReviews","ratingAverage","ratingAccuracy","ratingCommunication","ratingCleanliness","ratingLocation","ratingCheckIn","ratingValue","capacityRoomType","capacityNumGuests","capacityNumBedrooms","capacityNumBeds","amenitiesParking","amenitiesPets","amenitiesFireplace","amenitiesSmoking","amenitiesPool","amenitiesHangers","amenitiesBreakfast","amenitiesInternet","amenitiesElevator","amenitiesKitchen","amenitiesFamily","amenitiesAccessible","amenitiesWifi","amenitiesEvents","amenitiesDryer","amenitiesDesktop","amenitiesHottub","amenitiesHeating","amenitiesLaptop","amenitiesDoorman","amenitiesGym","amenitiesIron","amenitiesHairdryer","amenitiesWasher","amenitiesEssentials","amenitiesShampoo","amenitiesTv","amenitiesAc"
"1","/rooms/18203034?location=Melbourne%2C%20Victoria%2C%20Australia&check_in=2017-05-01&check_out=2017-05-02","Comfy place closed to Crown and CBD, Gym & Pool","Melbourne--Victoria--Australia","2017-05-01","2017-05-02","369","417","2",NA,NA,NA,NA,NA,NA,NA,"2 guests","1 room","1 bed","1 shared bath",0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,1,0,1
"2","/rooms/9890944?location=Melbourne%2C%20Victoria%2C%20Australia&check_in=2017-05-01&check_out=2017-05-02","Great Melbourne CBD 1BR Apartment With Gym & Spa!","Melbourne--Victoria--Australia","2017-05-01","2017-05-02","473","866","85","5","5","5","4.5","5","5","5","2 guests","1 room","1 bed","1 bath",0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1
"3","/rooms/16490901?location=Melbourne%2C%20Victoria%2C%20Australia&check_in=2017-05-01&check_out=2017-05-02","New property!!! Heart of CBD,One bedroom apartment","Melbourne--Victoria--Australia","2017-05-01","2017-05-02","689","905","10","4","4","5","3.5","5","5","4","2 guests","1 room","1 bed","1 bath",0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1
"4","/rooms/15539870?location=Melbourne%2C%20Victoria%2C%20Australia&check_in=2017-05-01&check_out=2017-05-02","Modern room in best Richmond location!","Melbourne--Victoria--Australia","2017-05-01","2017-05-02","425","673","9","5","5","5","5","5","5","5","2 guests","1 room","1 bed","1 shared bath",0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1
"5","/rooms/7752676?location=Melbourne%2C%20Victoria%2C%20Australia&check_in=2017-05-01&check_out=2017-05-02","King+Own Bathrm, City, Hse Wifi Gdn","Melbourne--Victoria--Australia","2017-05-01","2017-05-02","385","633","31","5","5","5","5","5","5","5","2 guests","1 room","1 bed","1 bath",0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,1,1,1
"6","/rooms/16527578?location=Melbourne%2C%20Victoria%2C%20Australia&check_in=2017-05-01&check_out=2017-05-02","The Atrium 2bd 2 bath 270 degree view @MELB CBD","Melbourne--Victoria--Australia","2017-05-01","2017-05-02","922","1475","17","4.5","5","4.5","4.5","5","5","4.5","6 guests","2 rooms","5 beds","2 baths",0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1
"7","/rooms/17770079?location=Melbourne%2C%20Victoria%2C%20Australia&check_in=2017-05-01&check_out=2017-05-02","Comfy BRAND NEW 2BDR APT + CITY VIEW + WIFI","Melbourne--Victoria--Australia","2017-05-01","2017-05-02","954","1194","3","4.5","5","4.5","4.5","4.5","4.5","4.5","6 guests","2 rooms","3 beds","1 bath",0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1
"8","/rooms/16153180?location=Melbourne%2C%20Victoria%2C%20Australia&check_in=2017-05-01&check_out=2017-05-02","McEwan's Studio in Melb's CBD","Melbourne--Victoria--Australia","2017-05-01","2017-05-02","449","898","38","4.5","5","4.5","5","5","5","4.5","4 guests","studio","2 beds","1 bath",0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0
"9","/rooms/16046255?location=Melbourne%2C%20Victoria%2C%20Australia&check_in=2017-05-01&check_out=2017-05-02","Manhattan Suite - Melbourne's 'Paris End'.","Melbourne--Victoria--Australia","2017-05-01","2017-05-02","906","1347","28","5","5","5","5","5","5","5","3 guests","1 room","2 beds","1 bath",0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
"10","/rooms/12255567?location=Melbourne%2C%20Victoria%2C%20Australia&check_in=2017-05-01&check_out=2017-05-02","Simple and welcoming house","Melbourne--Victoria--Australia","2017-05-01","2017-05-02","361","505","18","5","5","5","5","5","5","5","2 guests","1 room","1 bed","1 bath",0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0
