"","url","name","city","checkInDate","checkOutDate"
"1","/rooms/16886845?location=Chengdu%2C%20Sichuan%2C%20China&check_in=2017-05-01&check_out=2017-05-02",NA,"Chengdu--Sichuan--China","2017-05-01","2017-05-02"
"2","/rooms/13761719?location=Chengdu%2C%20Sichuan%2C%20China&check_in=2017-05-01&check_out=2017-05-02",NA,"Chengdu--Sichuan--China","2017-05-01","2017-05-02"
"3","/rooms/14659049?location=Chengdu%2C%20Sichuan%2C%20China&check_in=2017-05-01&check_out=2017-05-02",NA,"Chengdu--Sichuan--China","2017-05-01","2017-05-02"
"4","/rooms/12702491?location=Chengdu%2C%20Sichuan%2C%20China&check_in=2017-05-01&check_out=2017-05-02",NA,"Chengdu--Sichuan--China","2017-05-01","2017-05-02"
"5","/rooms/18279211?location=Chengdu%2C%20Sichuan%2C%20China&check_in=2017-05-01&check_out=2017-05-02",NA,"Chengdu--Sichuan--China","2017-05-01","2017-05-02"
"6","/rooms/18441005?location=Chengdu%2C%20Sichuan%2C%20China&check_in=2017-05-01&check_out=2017-05-02",NA,"Chengdu--Sichuan--China","2017-05-01","2017-05-02"
"7","/rooms/14795154?location=Chengdu%2C%20Sichuan%2C%20China&check_in=2017-05-01&check_out=2017-05-02",NA,"Chengdu--Sichuan--China","2017-05-01","2017-05-02"
"8","/rooms/8259740?location=Chengdu%2C%20Sichuan%2C%20China&check_in=2017-05-01&check_out=2017-05-02",NA,"Chengdu--Sichuan--China","2017-05-01","2017-05-02"
"9","/rooms/16641781?location=Chengdu%2C%20Sichuan%2C%20China&check_in=2017-05-01&check_out=2017-05-02",NA,"Chengdu--Sichuan--China","2017-05-01","2017-05-02"
"10","/rooms/1178347?location=Chengdu%2C%20Sichuan%2C%20China&check_in=2017-05-01&check_out=2017-05-02",NA,"Chengdu--Sichuan--China","2017-05-01","2017-05-02"
"11","/rooms/16853604?location=Chengdu%2C%20Sichuan%2C%20China&check_in=2017-05-01&check_out=2017-05-02",NA,"Chengdu--Sichuan--China","2017-05-01","2017-05-02"
"12","/rooms/17522528?location=Chengdu%2C%20Sichuan%2C%20China&check_in=2017-05-01&check_out=2017-05-02",NA,"Chengdu--Sichuan--China","2017-05-01","2017-05-02"
"13","/rooms/17707785?location=Chengdu%2C%20Sichuan%2C%20China&check_in=2017-05-01&check_out=2017-05-02",NA,"Chengdu--Sichuan--China","2017-05-01","2017-05-02"
"14","/rooms/16626448?location=Chengdu%2C%20Sichuan%2C%20China&check_in=2017-05-01&check_out=2017-05-02",NA,"Chengdu--Sichuan--China","2017-05-01","2017-05-02"
"15","/rooms/16148210?location=Chengdu%2C%20Sichuan%2C%20China&check_in=2017-05-01&check_out=2017-05-02",NA,"Chengdu--Sichuan--China","2017-05-01","2017-05-02"
"16","/rooms/15034948?location=Chengdu%2C%20Sichuan%2C%20China&check_in=2017-05-01&check_out=2017-05-02",NA,"Chengdu--Sichuan--China","2017-05-01","2017-05-02"
"17","/rooms/10158568?location=Chengdu%2C%20Sichuan%2C%20China&check_in=2017-05-01&check_out=2017-05-02",NA,"Chengdu--Sichuan--China","2017-05-01","2017-05-02"
"18","/rooms/14268707?location=Chengdu%2C%20Sichuan%2C%20China&check_in=2017-05-01&check_out=2017-05-02",NA,"Chengdu--Sichuan--China","2017-05-01","2017-05-02"
"19","/rooms/17738774?location=Chengdu%2C%20Sichuan%2C%20China&check_in=2017-05-01&check_out=2017-05-02",NA,"Chengdu--Sichuan--China","2017-05-01","2017-05-02"
"20","/rooms/18322849?location=Chengdu%2C%20Sichuan%2C%20China&check_in=2017-05-01&check_out=2017-05-02",NA,"Chengdu--Sichuan--China","2017-05-01","2017-05-02"
"21","/rooms/17832829?location=Chengdu%2C%20Sichuan%2C%20China&check_in=2017-05-01&check_out=2017-05-02",NA,"Chengdu--Sichuan--China","2017-05-01","2017-05-02"
"22","/rooms/18320501?location=Chengdu%2C%20Sichuan%2C%20China&check_in=2017-05-01&check_out=2017-05-02",NA,"Chengdu--Sichuan--China","2017-05-01","2017-05-02"
"23","/rooms/18314152?location=Chengdu%2C%20Sichuan%2C%20China&check_in=2017-05-01&check_out=2017-05-02",NA,"Chengdu--Sichuan--China","2017-05-01","2017-05-02"
"24","/rooms/16890671?location=Chengdu%2C%20Sichuan%2C%20China&check_in=2017-05-01&check_out=2017-05-02",NA,"Chengdu--Sichuan--China","2017-05-01","2017-05-02"
"25","/rooms/15299735?location=Chengdu%2C%20Sichuan%2C%20China&check_in=2017-05-01&check_out=2017-05-02",NA,"Chengdu--Sichuan--China","2017-05-01","2017-05-02"
"26","/rooms/18313229?location=Chengdu%2C%20Sichuan%2C%20China&check_in=2017-05-01&check_out=2017-05-02",NA,"Chengdu--Sichuan--China","2017-05-01","2017-05-02"
"27","/rooms/4212043?location=Chengdu%2C%20Sichuan%2C%20China&check_in=2017-05-01&check_out=2017-05-02",NA,"Chengdu--Sichuan--China","2017-05-01","2017-05-02"
"28","/rooms/18417454?location=Chengdu%2C%20Sichuan%2C%20China&check_in=2017-05-01&check_out=2017-05-02",NA,"Chengdu--Sichuan--China","2017-05-01","2017-05-02"
"29","/rooms/18010604?location=Chengdu%2C%20Sichuan%2C%20China&check_in=2017-05-01&check_out=2017-05-02",NA,"Chengdu--Sichuan--China","2017-05-01","2017-05-02"
"30","/rooms/6614371?location=Chengdu%2C%20Sichuan%2C%20China&check_in=2017-05-01&check_out=2017-05-02",NA,"Chengdu--Sichuan--China","2017-05-01","2017-05-02"
"31","/rooms/14222303?location=Chengdu%2C%20Sichuan%2C%20China&check_in=2017-05-01&check_out=2017-05-02",NA,"Chengdu--Sichuan--China","2017-05-01","2017-05-02"
"32","/rooms/18322618?location=Chengdu%2C%20Sichuan%2C%20China&check_in=2017-05-01&check_out=2017-05-02",NA,"Chengdu--Sichuan--China","2017-05-01","2017-05-02"
"33","/rooms/11940715?location=Chengdu%2C%20Sichuan%2C%20China&check_in=2017-05-01&check_out=2017-05-02",NA,"Chengdu--Sichuan--China","2017-05-01","2017-05-02"
"34","/rooms/16236523?location=Chengdu%2C%20Sichuan%2C%20China&check_in=2017-05-01&check_out=2017-05-02",NA,"Chengdu--Sichuan--China","2017-05-01","2017-05-02"
"35","/rooms/14145843?location=Chengdu%2C%20Sichuan%2C%20China&check_in=2017-05-01&check_out=2017-05-02",NA,"Chengdu--Sichuan--China","2017-05-01","2017-05-02"
"36","/rooms/15044051?location=Chengdu%2C%20Sichuan%2C%20China&check_in=2017-05-01&check_out=2017-05-02",NA,"Chengdu--Sichuan--China","2017-05-01","2017-05-02"
"37","/rooms/10631296?location=Chengdu%2C%20Sichuan%2C%20China&check_in=2017-05-01&check_out=2017-05-02",NA,"Chengdu--Sichuan--China","2017-05-01","2017-05-02"
"38","/rooms/13761719?location=Chengdu%2C%20Sichuan%2C%20China&check_in=2017-05-01&check_out=2017-05-02",NA,"Chengdu--Sichuan--China","2017-05-01","2017-05-02"
"39","/rooms/16588358?location=Chengdu%2C%20Sichuan%2C%20China&check_in=2017-05-01&check_out=2017-05-02",NA,"Chengdu--Sichuan--China","2017-05-01","2017-05-02"
"40","/rooms/12702491?location=Chengdu%2C%20Sichuan%2C%20China&check_in=2017-05-01&check_out=2017-05-02",NA,"Chengdu--Sichuan--China","2017-05-01","2017-05-02"
"41","/rooms/13761719?location=Chengdu%2C%20Sichuan%2C%20China&check_in=2017-05-01&check_out=2017-05-02",NA,"Chengdu--Sichuan--China","2017-05-01","2017-05-02"
"42","/rooms/18441005?location=Chengdu%2C%20Sichuan%2C%20China&check_in=2017-05-01&check_out=2017-05-02",NA,"Chengdu--Sichuan--China","2017-05-01","2017-05-02"
"43","/rooms/16417647?location=Chengdu%2C%20Sichuan%2C%20China&check_in=2017-05-01&check_out=2017-05-02",NA,"Chengdu--Sichuan--China","2017-05-01","2017-05-02"
"44","/rooms/8259740?location=Chengdu%2C%20Sichuan%2C%20China&check_in=2017-05-01&check_out=2017-05-02",NA,"Chengdu--Sichuan--China","2017-05-01","2017-05-02"
"45","/rooms/14639096?location=Chengdu%2C%20Sichuan%2C%20China&check_in=2017-05-01&check_out=2017-05-02",NA,"Chengdu--Sichuan--China","2017-05-01","2017-05-02"
"46","/rooms/1178347?location=Chengdu%2C%20Sichuan%2C%20China&check_in=2017-05-01&check_out=2017-05-02",NA,"Chengdu--Sichuan--China","2017-05-01","2017-05-02"
"47","/rooms/13944412?location=Chengdu%2C%20Sichuan%2C%20China&check_in=2017-05-01&check_out=2017-05-02",NA,"Chengdu--Sichuan--China","2017-05-01","2017-05-02"
"48","/rooms/17522528?location=Chengdu%2C%20Sichuan%2C%20China&check_in=2017-05-01&check_out=2017-05-02",NA,"Chengdu--Sichuan--China","2017-05-01","2017-05-02"
"49","/rooms/16789629?location=Chengdu%2C%20Sichuan%2C%20China&check_in=2017-05-01&check_out=2017-05-02",NA,"Chengdu--Sichuan--China","2017-05-01","2017-05-02"
"50","/rooms/16626448?location=Chengdu%2C%20Sichuan%2C%20China&check_in=2017-05-01&check_out=2017-05-02",NA,"Chengdu--Sichuan--China","2017-05-01","2017-05-02"
"51","/rooms/15826927?location=Chengdu%2C%20Sichuan%2C%20China&check_in=2017-05-01&check_out=2017-05-02",NA,"Chengdu--Sichuan--China","2017-05-01","2017-05-02"
"52","/rooms/15034948?location=Chengdu%2C%20Sichuan%2C%20China&check_in=2017-05-01&check_out=2017-05-02",NA,"Chengdu--Sichuan--China","2017-05-01","2017-05-02"
"53","/rooms/18245448?location=Chengdu%2C%20Sichuan%2C%20China&check_in=2017-05-01&check_out=2017-05-02",NA,"Chengdu--Sichuan--China","2017-05-01","2017-05-02"
"54","/rooms/14268707?location=Chengdu%2C%20Sichuan%2C%20China&check_in=2017-05-01&check_out=2017-05-02",NA,"Chengdu--Sichuan--China","2017-05-01","2017-05-02"
"55","/rooms/17798990?location=Chengdu%2C%20Sichuan%2C%20China&check_in=2017-05-01&check_out=2017-05-02",NA,"Chengdu--Sichuan--China","2017-05-01","2017-05-02"
"56","/rooms/18322849?location=Chengdu%2C%20Sichuan%2C%20China&check_in=2017-05-01&check_out=2017-05-02",NA,"Chengdu--Sichuan--China","2017-05-01","2017-05-02"
