"","url","name","city","checkInDate","checkOutDate","price","totalPrice","numOfReviews","ratingAverage","ratingAccuracy","ratingCommunication","ratingCleanliness","ratingLocation","ratingCheckIn","ratingValue","capacityRoomType","capacityNumGuests","capacityNumBedrooms","capacityNumBeds","amenitiesParking","amenitiesPets","amenitiesFireplace","amenitiesSmoking","amenitiesPool","amenitiesHangers","amenitiesBreakfast","amenitiesInternet","amenitiesElevator","amenitiesKitchen","amenitiesFamily","amenitiesAccessible","amenitiesWifi","amenitiesEvents","amenitiesDryer","amenitiesDesktop","amenitiesHottub","amenitiesHeating","amenitiesLaptop","amenitiesDoorman","amenitiesGym","amenitiesIron","amenitiesHairdryer","amenitiesWasher","amenitiesEssentials","amenitiesShampoo","amenitiesTv","amenitiesAc"
"1","/rooms/17957306?location=Chicago%2C%20IL%2C%20United%20States&check_in=2017-05-01&check_out=2017-05-02","1 Private Room Minutes Away From Downtown Chicago","Chicago--IL--United-States","2017-05-01","2017-05-02","321","742","1",NA,NA,NA,NA,NA,NA,NA,"Private room","1 Guest","1 Bedroom","1 Bed",1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
"2","/rooms/16666230?location=Chicago%2C%20IL%2C%20United%20States&check_in=2017-05-01&check_out=2017-05-02","Modern Condo in Printers Row ""Temporary Discount""","Chicago--IL--United-States","2017-05-01","2017-05-02","1082","1859","39","5","5","5","5","5","5","5","Entire home/apt","6 Guests","Studio","3 Beds",0,0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1
"3","/rooms/12308104?location=Chicago%2C%20IL%2C%20United%20States&check_in=2017-05-01&check_out=2017-05-02","Cozy room, private bath, Hyde Park","Chicago--IL--United-States","2017-05-01","2017-05-02","321","527","72","5","5","5","5","5","5","5","Private room","2 Guests","1 Bedroom","1 Bed",0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1
"4","/rooms/14490975?location=Chicago%2C%20IL%2C%20United%20States&check_in=2017-05-01&check_out=2017-05-02","Private unit in safe, pretty area!","Chicago--IL--United-States","2017-05-01","2017-05-02","353","519","65","4.5","5","5","5","5","5","5","Entire home/apt","2 Guests","Studio","1 Bed",1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,1,1,1,0,1
"5","/rooms/14281496?location=Chicago%2C%20IL%2C%20United%20States&check_in=2017-05-01&check_out=2017-05-02","Charming Private 1 Bed/1 Bath Lakeside Apt","Chicago--IL--United-States","2017-05-01","2017-05-02","561","854","24","4.5","4.5","5","4.5","4.5","5","5","Entire home/apt","2 Guests","1 Bedroom","1 Bed",0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0
"6","/rooms/17679124?location=Chicago%2C%20IL%2C%20United%20States&check_in=2017-05-01&check_out=2017-05-02","Private Quarters","Chicago--IL--United-States","2017-05-01","2017-05-02","160","279","1",NA,NA,NA,NA,NA,NA,NA,"Private room","2 Guests","1 Bedroom","2 Beds",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","/rooms/234905?location=Chicago%2C%20IL%2C%20United%20States&check_in=2017-05-01&check_out=2017-05-02","Luxury Loft Studio/Old Town :410","Chicago--IL--United-States","2017-05-01","2017-05-02","1403","1859","230","4.5","5","4.5","4.5","5","5","4.5","Entire home/apt","3 Guests","1 Bedroom","3 Beds",0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8","/rooms/5645139?location=Chicago%2C%20IL%2C%20United%20States&check_in=2017-05-01&check_out=2017-05-02","Luxury Vintage condo in Uptown","Chicago--IL--United-States","2017-05-01","2017-05-02","649","1500","57","5","5","5","5","4.5","5","5","Private room","2 Guests","1 Bedroom","1 Bed",0,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1
"9","/rooms/1656336?location=Chicago%2C%20IL%2C%20United%20States&check_in=2017-05-01&check_out=2017-05-02","Park Views-Walk to Orange Line(MDW)","Chicago--IL--United-States","2017-05-01","2017-05-02","505","1205","148","4.5","5","5","4.5","4.5","5","4.5","Entire home/apt","5 Guests","2 Bedrooms","2 Beds",1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
"10","/rooms/16742255?location=Chicago%2C%20IL%2C%20United%20States&check_in=2017-05-01&check_out=2017-05-02","Luxury Apartment 2BR 2BA Highrise/Millenimun Park","Chicago--IL--United-States","2017-05-01","2017-05-02","2396","4244","18","5","5","5","5","5","5","5","Entire home/apt","6 Guests","2 Bedrooms","2 Beds",0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"11","/rooms/17079512?location=Chicago%2C%20IL%2C%20United%20States&check_in=2017-05-01&check_out=2017-05-02","Stunning Bright Condo in heart of Lincoln&Diversey","Chicago--IL--United-States","2017-05-01","2017-05-02","801","1061","1",NA,NA,NA,NA,NA,NA,NA,"Private room","2 Guests","1 Bedroom","1 Bed",0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,1,0,1
"12","/rooms/8114685?location=Chicago%2C%20IL%2C%20United%20States&check_in=2017-05-01&check_out=2017-05-02","Private room in Wicker Park Apt.","Chicago--IL--United-States","2017-05-01","2017-05-02","561","854","61","4.5","5","4.5","4.5","5","5","4.5","Private room","2 Guests","1 Bedroom","1 Bed",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
"13","/rooms/17438902?location=Chicago%2C%20IL%2C%20United%20States&check_in=2017-05-01&check_out=2017-05-02","Great Location!!","Chicago--IL--United-States","2017-05-01","2017-05-02","673","1317","16","5","5","5","5","5","5","5","Entire home/apt","2 Guests","1 Bedroom","1 Bed",0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1
"14","/rooms/15274162?location=Chicago%2C%20IL%2C%20United%20States&check_in=2017-05-01&check_out=2017-05-02","Private Room for COMLEX/USMLE/Vacation near O'Hare","Chicago--IL--United-States","2017-05-01","2017-05-02","681","902","8","5","5","5","5","5","5","5","Private room","2 Guests","1 Bedroom","2 Beds",1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1
"15","/rooms/13844204?location=Chicago%2C%20IL%2C%20United%20States&check_in=2017-05-01&check_out=2017-05-02","Matcha Room Hyde Park","Chicago--IL--United-States","2017-05-01","2017-05-02",NA,"742","47","5","5","5","5","5","5","5","Private room","2 Guests","1 Bedroom","1 Bed",0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1
"16","/rooms/16269676?location=Chicago%2C%20IL%2C%20United%20States&check_in=2017-05-01&check_out=2017-05-02","1 room (C) in a 3 bedroom unit (3E)","Chicago--IL--United-States","2017-05-01","2017-05-02","248","375","11","3","3.5","4","2.5","3","4","3","Private room","2 Guests","1 Bedroom","1 Bed",1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0
"17","/rooms/14702468?location=Chicago%2C%20IL%2C%20United%20States&check_in=2017-05-01&check_out=2017-05-02","5-star Shared Room 4 in Safe upscale Hyde Park","Chicago--IL--United-States","2017-05-01","2017-05-02","160","423","33","5","5","5","5","5","5","5","Shared room","2 Guests","2 Beds",NA,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,1,1,1,0,1
"18","/rooms/13866814?location=Chicago%2C%20IL%2C%20United%20States&check_in=2017-05-01&check_out=2017-05-02","River North-Updated Studio-Fits 3-Good Location","Chicago--IL--United-States","2017-05-01","2017-05-02","401","1062","53","4.5","4.5","5","5","5","5","5","Entire home/apt","3 Guests","Studio","1 Bed",1,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1,0,1,1,1,1,1,0,1
"19","/rooms/6185638?location=Chicago%2C%20IL%2C%20United%20States&check_in=2017-05-01&check_out=2017-05-02","Private Room a block from blue line","Chicago--IL--United-States","2017-05-01","2017-05-02","361","480","75","4.5","4.5","4.5","4","5","4.5","4.5","Private room","2 Guests","1 Bedroom","1 Bed",0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1
"20","/rooms/15842825?location=Chicago%2C%20IL%2C%20United%20States&check_in=2017-05-01&check_out=2017-05-02","Great Studio in River West","Chicago--IL--United-States","2017-05-01","2017-05-02","481","1277","11","5","5","5","5","5","5","5","Entire home/apt","2 Guests","Studio","1 Bed",0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1
"21","/rooms/17626341?location=Chicago%2C%20IL%2C%20United%20States&check_in=2017-05-01&check_out=2017-05-02","Heart of Bucktown","Chicago--IL--United-States","2017-05-01","2017-05-02","553","1213","7","5","5","5","5","5","5","5","Entire home/apt","4 Guests","2 Bedrooms","3 Beds",0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1
