"","url","name","city","checkInDate","checkOutDate","price","totalPrice","numOfReviews","ratingAverage","ratingAccuracy","ratingCommunication","ratingCleanliness","ratingLocation","ratingCheckIn","ratingValue","capacityRoomType","capacityNumGuests","capacityNumBedrooms","capacityNumBeds","amenitiesParking","amenitiesPets","amenitiesFireplace","amenitiesSmoking","amenitiesPool","amenitiesHangers","amenitiesBreakfast","amenitiesInternet","amenitiesElevator","amenitiesKitchen","amenitiesFamily","amenitiesAccessible","amenitiesWifi","amenitiesEvents","amenitiesDryer","amenitiesDesktop","amenitiesHottub","amenitiesHeating","amenitiesLaptop","amenitiesDoorman","amenitiesGym","amenitiesIron","amenitiesHairdryer","amenitiesWasher","amenitiesEssentials","amenitiesShampoo","amenitiesTv","amenitiesAc"
"15","/rooms/17144338?location=Hong%20Kong&check_in=2017-05-01&check_out=2017-05-02","LRJL-2 new! Mong kok,Comfy room,private bath,AC","Hong-Kong","2017-05-01","2017-05-02","272","412",NA,NA,NA,NA,NA,NA,NA,NA,"Private room","2 Guests","1 Bedroom","1 Bed",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1
"16","/rooms/17909749?location=Hong%20Kong&check_in=2017-05-01&check_out=2017-05-02","Yau Ma Tei whole cosy apartment w/Lift,5min to MTR","Hong-Kong","2017-05-01","2017-05-02","646","949","3","4.5","5","5","4.5","5","5","5","Entire home/apt","5 Guests","1 Bedroom","3 Beds",0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1
"17","/rooms/17539309?location=Hong%20Kong&check_in=2017-05-01&check_out=2017-05-02","E Room - Union at TST Metro Cozy Bed Room","Hong-Kong","2017-05-01","2017-05-02","280","405","7","4","4.5","5","4.5","5","5","4.5","Private room","2 Guests","1 Bedroom","1 Bed",0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1
"18","/rooms/17562730?location=Hong%20Kong&check_in=2017-05-01&check_out=2017-05-02","Apartment with Terrace at Sheung Wan Central","Hong-Kong","2017-05-01","2017-05-02","552","786",NA,NA,NA,NA,NA,NA,NA,NA,"Entire home/apt","2 Guests","1 Bedroom","1 Bed",0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1
"19","/rooms/18315025?location=Hong%20Kong&check_in=2017-05-01&check_out=2017-05-02","Mongkok Licensed Guesthouse~ 1 min to Subway & bus","Hong-Kong","2017-05-01","2017-05-02","420","521",NA,NA,NA,NA,NA,NA,NA,NA,"Entire home/apt","2 Guests","1 Bedroom","1 Bed",0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1
"20","/rooms/15240904?location=Hong%20Kong&check_in=2017-05-01&check_out=2017-05-02","1 bed in 10 Bed Mixed Dorm in Tsim Sha Tsui","Hong-Kong","2017-05-01","2017-05-02","202","225","8","4","4.5","5","4.5","5","5","4.5","Shared room","1 Guest","10 Beds",NA,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1
"21","/rooms/18087718?location=Hong%20Kong&check_in=2017-05-01&check_out=2017-05-02","Delightful Private Double Bed Room @TST","Hong-Kong","2017-05-01","2017-05-02","451","560","1",NA,NA,NA,NA,NA,NA,NA,"Private room","2 Guests","1 Bedroom","1 Bed",0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1
"22","/rooms/17917748?location=Hong%20Kong&check_in=2017-05-01&check_out=2017-05-02","Spacious, Well Lit 1 Bed Apartment in Sheung Wan","Hong-Kong","2017-05-01","2017-05-02","801","902","3","5","5","5","5","5","5","5","Entire home/apt","3 Guests","1 Bedroom","2 Beds",0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1
"23","/rooms/18400486?location=Hong%20Kong&check_in=2017-05-01&check_out=2017-05-02","【 1 min to MTR】Deluxe Twin Bed Room尖沙咀豪華雙人間","Hong-Kong","2017-05-01","2017-05-02","420","474",NA,NA,NA,NA,NA,NA,NA,NA,"Private room","2 Guests","1 Bedroom","2 Beds",0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1
"24","/rooms/10397724?location=Hong%20Kong&check_in=2017-05-01&check_out=2017-05-02","Great sunshine Apartment Near Metro","Hong-Kong","2017-05-01","2017-05-02","280","366","27","4.5","4.5","4.5","4.5","4.5","4.5","5","Entire home/apt","2 Guests","1 Bedroom","1 Bed",0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1
