"","url","name","city","checkInDate","checkOutDate","price","totalPrice","numOfReviews","ratingAverage","ratingAccuracy","ratingCommunication","ratingCleanliness","ratingLocation","ratingCheckIn","ratingValue","capacityRoomType","capacityNumGuests","capacityNumBedrooms","capacityNumBeds","amenitiesParking","amenitiesPets","amenitiesFireplace","amenitiesSmoking","amenitiesPool","amenitiesHangers","amenitiesBreakfast","amenitiesInternet","amenitiesElevator","amenitiesKitchen","amenitiesFamily","amenitiesAccessible","amenitiesWifi","amenitiesEvents","amenitiesDryer","amenitiesDesktop","amenitiesHottub","amenitiesHeating","amenitiesLaptop","amenitiesDoorman","amenitiesGym","amenitiesIron","amenitiesHairdryer","amenitiesWasher","amenitiesEssentials","amenitiesShampoo","amenitiesTv","amenitiesAc"
"1","/rooms/18058846?location=Los%20Angeles%2C%20CA%2C%20United%20States&check_in=2017-05-01&check_out=2017-05-02","Nice cute 2bdrm house walking distance to FORUM","Los-Angeles--CA--United-States","2017-05-01","2017-05-02","256","288","1",NA,NA,NA,NA,NA,NA,NA,"2 guests","1 room","1 bed","1 bath",0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
"2","/rooms/18397510?location=Los%20Angeles%2C%20CA%2C%20United%20States&check_in=2017-05-01&check_out=2017-05-02","Best bunk bed in Downtown LA","Los-Angeles--CA--United-States","2017-05-01","2017-05-02","232","439",NA,NA,NA,NA,NA,NA,NA,NA,"1 guest","1 bed","2.5 baths",NA,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1
"3","/rooms/12232134?location=Los%20Angeles%2C%20CA%2C%20United%20States&check_in=2017-05-01&check_out=2017-05-02","Arts District Co-Living Space","Los-Angeles--CA--United-States","2017-05-01","2017-05-02","401","503","77","4.5","5","5","5","4.5","4.5","4.5","1 guest","16 beds","2 baths",NA,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1
"4","/rooms/1633442?location=Los%20Angeles%2C%20CA%2C%20United%20States&check_in=2017-05-01&check_out=2017-05-02","Relaxing 2BD Oasis in Heart of LA","Los-Angeles--CA--United-States","2017-05-01","2017-05-02","561","1614","100","4.5","4.5","4.5","4.5","5","4.5","4.5","6 guests","2 rooms","4 beds","2 baths",1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1
"5","/rooms/9606795?location=Los%20Angeles%2C%20CA%2C%20United%20States&check_in=2017-05-01&check_out=2017-05-02","Charming 1910 Craftsman Studio","Los-Angeles--CA--United-States","2017-05-01","2017-05-02","681","1359","106","5","5","5","5","5","5","5","2 guests","1 room","1 bed","1 bath",1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1
"6","/rooms/17592573?location=Los%20Angeles%2C%20CA%2C%20United%20States&check_in=2017-05-01&check_out=2017-05-02","Olympic Guest House","Los-Angeles--CA--United-States","2017-05-01","2017-05-02","657","823","13","5","5","5","5","5","5","5","3 guests","1 room","2 beds","1 bath",0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0
"7","/rooms/18006215?location=Los%20Angeles%2C%20CA%2C%20United%20States&check_in=2017-05-01&check_out=2017-05-02","Double Bed DTLA Shared Room CubeSpace Netflix","Los-Angeles--CA--United-States","2017-05-01","2017-05-02","248","312","2",NA,NA,NA,NA,NA,NA,NA,"2 guests","1 bed","1 bath",NA,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1
"8","/rooms/15720837?location=Los%20Angeles%2C%20CA%2C%20United%20States&check_in=2017-05-01&check_out=2017-05-02","Private room w own bath near LAX","Los-Angeles--CA--United-States","2017-05-01","2017-05-02","521","655","11","5","5","5","5","5","5","5","1 guest","1 room","1 bed","1 bath",0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
"9","/rooms/11416566?location=Los%20Angeles%2C%20CA%2C%20United%20States&check_in=2017-05-01&check_out=2017-05-02","Studio Guesthouse in Silverlake","Los-Angeles--CA--United-States","2017-05-01","2017-05-02","1162","2012","89","5","5","5","5","5","5","5","2 guests","studio","1 bed","1 bath",1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,1,1,1
"10","/rooms/18434888?location=Los%20Angeles%2C%20CA%2C%20United%20States&check_in=2017-05-01&check_out=2017-05-02","Great spot in Downtown LA","Los-Angeles--CA--United-States","2017-05-01","2017-05-02","232","439",NA,NA,NA,NA,NA,NA,NA,NA,"1 guest","1 bed","2.5 baths",NA,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1
"11","/rooms/18176946?location=Los%20Angeles%2C%20CA%2C%20United%20States&check_in=2017-05-01&check_out=2017-05-02","Walk Of Fame Place","Los-Angeles--CA--United-States","2017-05-01","2017-05-02","793","1494",NA,NA,NA,NA,NA,NA,NA,NA,"3 guests","1 room","2 beds","1 bath",0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1
