"","url","name","city","checkInDate","checkOutDate","price_2017.04.15","totalPrice_2017.04.15","price_2017-04-16","totalPrice_2017-04-16"
"33","/rooms/13150055?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Jordan Room for 3, next to MTR, E3","Hong-Kong","5/1/17","5/2/17",451,505,NA,"505"
"34","/rooms/16475008?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","HKJL-4 New! Mong kok,Comfy room,private bath,AC","Hong-Kong","5/1/17","5/2/17",420,575,"420","575"
"35","/rooms/17721140?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","近旺角地铁站E1出口 溫馨双床 独立洗手间 WIFI 电视 空调","Hong-Kong","5/1/17","5/2/17",358,405,"358",NA
"36","/rooms/17262709?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","0_Chic Home - 2BR at Tsim Sha Tsui 尖沙咀- 2睡房溫馨現代簡約房","Hong-Kong","5/1/17","5/2/17",979,1096,"979","1096"
"37","/rooms/8382072?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","四月春季優惠大特價* 香港銅鑼灣1房民宿Private Room近地鐵站2分鐘","Hong-Kong","5/1/17","5/2/17",326,481,"326","481"
"38","/rooms/10950729?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Mixed Dorm Room (男女混合宿舍) (3)","Hong-Kong","5/1/17","5/2/17",225,256,"225","256"
"39","/rooms/15417014?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Bright & Modern Apartment, 2mins to MTR & Bus Stop","Hong-Kong","5/1/17","5/2/17",894,1345,"894","1345"
"40","/rooms/6146824?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Double Room With Private Bathroom","Hong-Kong","5/1/17","5/2/17",1003,1127,"1003","1127"
"41","/rooms/11482398?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","˙·٠••❤ Colorful Studio TST ❤••٠·˙","Hong-Kong","5/1/17","5/2/17",420,583,"396","559"
"42","/rooms/6257723?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Hostels,for 4@MTR for 3 mins","Hong-Kong","5/1/17","5/2/17",785,1050,"785","1050"
"43","/rooms/14798631?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Dorm with bunkbeds (shared room)","Hong-Kong","5/1/17","5/2/17",187,210,"187","210"
"44","/rooms/17546397?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","NEW: Flat in the center of the center - WAN CHAI","Hong-Kong","5/1/17","5/2/17",1796,2356,"1796","2356"
"45","/rooms/18084209?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Ocean view private room overlooking a green park.","Hong-Kong","5/1/17","5/2/17",497,559,"497","559"
"46","/rooms/7598871?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Full Apartment in the heart of CWB!","Hong-Kong","5/1/17","5/2/17",653,933,"599","871"
"47","/rooms/18148266?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Cosy double bedroom in a stylish flat, Sheung Wan","Hong-Kong","5/1/17","5/2/17",358,405,"365",NA
"48","/rooms/14263840?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Theatre Renovated Balcony 3mins MTR Wan Chai HKCEC","Hong-Kong","5/1/17","5/2/17",762,1197,"762","1197"
"49","/rooms/17967895?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","6B Luxury 1 Bedroom apartment in Wanchai 豪華一房公寓","Hong-Kong","5/1/17","5/2/17",902,1127,"902","1127"
"50","/rooms/2796097?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Y1. Mongkok Area,near Metro,Langham","Hong-Kong","5/1/17","5/2/17",801,902,"801","902"
"51","/rooms/14095096?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","1分鐘可到旺角地鐵站,免費無線上網,鄰近大小型購物商場,叧備有1-4人房","Hong-Kong","5/1/17","5/2/17",350,389,NA,"389"
"52","/rooms/11630153?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Heart of Hong Kong 2-Bdr LARGE Belcony MRT 3A","Hong-Kong","5/1/17","5/2/17",1003,1477,"925","1384"
"53","/rooms/7230615?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Fortune Inn Warm Room 18温馨大床房","Hong-Kong","5/1/17","5/2/17",497,559,"497","559"
"54","/rooms/16145200?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Causeway Bay TimesSquare Artistic 铜锣湾时代广场卧房 Pony","Hong-Kong","5/1/17","5/2/17",451,560,"451","560"
"55","/rooms/13591147?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","Wanchai 2BR High Flr w/ Rooftop,Sky Bar,Pool & Gym","Hong-Kong","5/1/17","5/2/17",1570,2270,"1570","2270"
"56","/rooms/15698386?checkin=2017-05-01&checkout=2017-05-02&location=Hong%20Kong","SLEEEP - Minimalist Capsule Hotel in Sheung Wan","Hong-Kong","5/1/17","5/2/17",599,669,"599","669"
