"","url","name","city","checkInDate","checkOutDate"
"97",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"98",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"99",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"100",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"101",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"102",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"103",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"104",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"105",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"106",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"107",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"108",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"109",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"110",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"111",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"112",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"113",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"114",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"115",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"116",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"117",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"118",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"119",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"120",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"121",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"122",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"123",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"124",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"125",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"126",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"127",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"128",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"129",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"130",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"131",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"132",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"133",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"134",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"135",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"136",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"137",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"138",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"139",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"140",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"141",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"142",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"143",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"144",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"145",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"146",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"147",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"148",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"149",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"150",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"151",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"152",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"153",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"154",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"155",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"156",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"157",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"158",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"159",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"160",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"161",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"162",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"163",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"164",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"165",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"166",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"167",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"168",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"169",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"170",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"171",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"172",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
"173",NA,NA,"Hong-Kong","2017-05-01","2017-05-02"
